"ID","Question text","Exam","Answer1","BoolAnswer1","Explanation1","Answer2","BoolAnswer2","Explanation2","Answer3","BoolAnswer3","Explanation3","Answer4","BoolAnswer4","Explanation4"
"10","\text{We consider the language }L :=\{ aⁿbᵐcᵐ | n,m ∈ ℕ\} \text{ over } \{a,b,c\}.","Summer_23 retake","\text{ There exists a DPDA accepting L by final state }","True","TODO","\text{ There exists an NFA recognizing L}","False","TODO","\text{ There exists a DPDA accepting L by empty stack}","False","See prefix condition","","",""
"11","\text{We consider languages over }\{a, b\}.","Summer_23 retake","\text{The set of regular languages is countable}","True","TODO","\text{The set of languages that are not context-free is countable}","False","TODO","\text{The set of languages that are context-free but not regular is countable}","True","TODO","","",""
"12","\text{Let }A, B \text{ be languages over the same alphabet.}","Summer_23 retake","\text{ If  A and B are not regular, then } A ∪ B \text{ is not regular}","False","TODO","\text{ If A is regular and B is context-free, then } A ∩ B \text{ is context-free}","True","TODO","\text{If }A ∪ B = B ¸\text{ and }B \text{ is regular, then} A \text{ is regular}","False","TODO","","",""
"13","\text{Define }L₁ := \{uv | u ≠ v\}, L₂ := \{uv | |u| = |v|\}.","Summer_23 retake","\text{L₁ is regular}","True","TODO","L_{2}^{*} = L₂","True","TODO","L₁ ∪ L₂\text{ is regular}","True","TODO","","",""
"14","\text{We consider the language }L := \{v₁bw₁\#v₂aw₂ | v₁ = v₂ ∧ w₁ = w₂\}.","Summer_23 retake","L^{ab\#bb} = L^{a\#b}","True","TODO","L^{aba\#ba} = L^{ab\#ba}","True","TODO","L^{ab\#} = L^{ba\#}","True","TODO","","",""
"15","\text{Let }A, B ⊆ Σ^∗ \text{ be languages. Which of the following statements are true?}","Summer_22 retake","|A|^2 = |A^2|","False","Counterexample: A = {a, aa}","\{uv : u ∈ A, v ∈ B\} = \{uv : u, v ∈ AB\}","True","Both equal to (AB)^2","A ⊆ (A ∪ B^*)^2","True","Note that ε ∈ B^*","","",""
"16","\text{Let }M = (Q, Σ, δ, q₀, F) \text{be a DFA. A state } q ∈ Q \text{ is called a trap state if no final state is reachable from }q; i.e., ˆδ(q, w) ∉ F \text{ for all }w ∈ Σ^∗. \text{ For which of the following regular expressions r does there exist a DFA M with L(M) = L(r) and no trap state?}","Summer_22 retake","a^*b^*a^*b^*","False","(q₀, ba) is always a trap state","bab^*(a | b)^*","False","δ(q₀, a) is always a trap state","(a | b)^*bab","True","From every state, reading ba leads to acceptance","","",""
"17","\text{Let } M = (Q, Σ, Γ, q_0, Z_0, δ, F) \text{be a PDA with n states and k stack symbols.We convert M to a context free Grammar according to the lecture. What is the maximum number of non-terminal symbols that G can have?}","Summer_22 retake","k2^n + 1","False","","nk^2 + 1","False","","n^2k + 1","True","V = Q × Γ × Q ∪ {S}","(k+n)^2+1","False",""
"18","\text{ Which of the following languages are context-free?}","Summer_22 retake","∪ from n=0 to ∞ \{aa, ab\}^n {ab, bb}^n","True","S → AS B | ε, A → aa | ab, B → ab | bb","\{a^n b^n a^n: n ∈ ℕ\}","False","Same argument as for {a^n b^n c^n: n ∈ ℕ}","\{a^n: n is even\}","True","S → aaS | ε; the language is even regular.","","",""
"19","\text{For an NFA or DFA } M = (Q, Σ, δ, q0, F) \text{ and }state q ∈ Q, \text{ we write LM(q) for the words that M accepts starting in state q. Which of the following statements are true?}","Summer_22 retake","\text{ There is a connected NFA M with state q and }L(M) = \{aa, ba\}^* \text{ and }LM(q) = \{ab\}^*.","False","Then M would accept a word that ends with b.","\text{There exists a connected NFA M with state q and }L(M) = \{aa, ba\}^*\text{ and }LM(q) = \{aa\}^*.","True","Since {aa}* ⊆ L(M), one can always add such a state to an NFA for L(M).","\text{ There is a connected DFA M with state q and }L(M) = \{aa, ba\}^* \text{ and }LM(q) = \{a\}\{aa, ba\}*.","True","{a}{aa, ba}* is a residual language, the statement holds for all M.","\text{There exists a connected DFA M with state q and } L(M) = \{aa,ba\}^* \text{ and } L_{M}(q) = \{a\}^*","False",""
"20","\text{Let }A, B, C ⊆ Σ^* \text{ be languages. Which of the following statements are true? }","Summer_22","A ≠ B ⇒ A^* ≠ B^*","False","Counterexample: A = {a, b}, B = {a, b, ab}","A(B ∪ C) = AB ∪ AC","True","","|A||B| ≤ |AB|","False","Counterexample: A = B = {a, aa}","","",""
"21","\text{Let r be a regular expression and M an NFA with n states and }L(M) = L(r). \text{ Which statements are true? }","Summer_22","\text{ There is an NFA for }L(ar) \text{ with at most n+1 states.}","True","We add a new initial state with an a-transition to the old initial state.","\text{There is an NFA for }L(rar) \text{ with at most n+1 states.}","False","Counterexample: r = a. There is an NFA M with 2 states, but for L(aaa), every NFA has at least 4 states.","\text{ There is an NFA for }L(ra) \text{ with at most n+1 states.}","True","We add a new final state f. The old final states are no longer final and receive an a-transition to f.","","",""
"22","\text{ How many states does the minimal DFA for the language }L((a^*b)^*) \text{ have?}","Summer_22","1","True","","2","False","","3","False","","\geq 4","False",""
"23","\text{ Let G be the grammar with productions }S → aSb | Sb | b. \text{ How many states does the smallest PDA M with } L_{\epsilon}(M) = L(G) \text{ have? consider that L(M) are the words M excepts with empty stack.}","Summer_22","1","True","We know that for every CFL there is a PDA with one state.","2","False","","3","False","","\geq 4","False",""
"24","\text{Let G be a context-free grammar with 7 productions. Which statements are true?}","Summer_22","\text{G has at most 7 reachable non-terminals.}","False","","\text{G has at most 7 useful non-terminals.}","True","","\text{G has at most 7 generating non-terminals.}","True","See Q7.5.","","",""

